type	category	name
agent	analysis	business-analyst
agent	analysis	business-intelligence-analyst
agent	analysis	competitive-intelligence-analyst
agent	analysis	experimentation-methodologist
agent	analysis	quant-analyst
agent	analysis	reverse-engineer
agent	analysis	startup-analyst
agent	architecture	api-contract-architect
agent	architecture	architect
agent	architecture	architect-review
agent	architecture	backend-architect
agent	architecture	database-architect
agent	architecture	dotnet-architect
agent	architecture	event-sourcing-architect
agent	architecture	graphql-architect
agent	architecture	legacy-modernizer
agent	architecture	monorepo-architect
agent	architecture	saas-platform-architect
agent	architecture	seo-structure-architect
agent	artificial-intelligence	ai-engineer
agent	artificial-intelligence	ai-safety-evaluator
agent	artificial-intelligence	eval-judge
agent	artificial-intelligence	eval-orchestrator
agent	artificial-intelligence	llm-platform-engineer
agent	artificial-intelligence	mcp-developer
agent	artificial-intelligence	model-advisor
agent	artificial-intelligence	prompt-crafter
agent	artificial-intelligence	prompt-engineer
agent	business-operations	change-management-consultant
agent	business-operations	hr-pro
agent	business-operations	learning-development-specialist
agent	business-operations	operations-manager
agent	business-operations	partnership-manager
agent	business-operations	pricing-strategist
agent	business-operations	procurement-specialist
agent	cloud-infrastructure	aws-solutions-architect
agent	cloud-infrastructure	cloud-architect
agent	cloud-infrastructure	finops-engineer
agent	cloud-infrastructure	hybrid-cloud-architect
agent	cloud-infrastructure	kubernetes-architect
agent	cloud-infrastructure	linux-systems-administrator
agent	cloud-infrastructure	network-engineer
agent	cloud-infrastructure	service-mesh-expert
agent	cloud-infrastructure	terraform-specialist
agent	cloud-infrastructure	windows-infrastructure-admin
agent	commerce	ecommerce-operations-manager
agent	commerce	payment-integration
agent	creative	creative-director
agent	creative	gallery-researcher
agent	creative	image-generator
agent	customer-operations	customer-success-manager
agent	customer-operations	customer-support
agent	data	analytics-engineer
agent	data	data-engineer
agent	data	data-governance-engineer
agent	data	data-scientist
agent	data	database-admin
agent	data	gis-analyst
agent	data	search-relevance-engineer
agent	data	sql-pro
agent	data	vector-database-engineer
agent	developer-experience	agent-designer
agent	developer-experience	agent-harness-optimizer
agent	developer-experience	codebase-onboarding-engineer
agent	developer-experience	dependency-manager
agent	developer-experience	developer-advocate
agent	developer-experience	developer-tooling-engineer
agent	developer-experience	dx-optimizer
agent	developer-experience	platform-engineer
agent	development	backend-developer
agent	development	bash-pro
agent	development	blockchain-developer
agent	development	c-pro
agent	development	cms-platform-engineer
agent	development	cpp-pro
agent	development	csharp-pro
agent	development	debugger
agent	development	django-pro
agent	development	electron-pro
agent	development	elixir-pro
agent	development	fastapi-pro
agent	development	flutter-expert
agent	development	frontend-developer
agent	development	golang-pro
agent	development	haskell-pro
agent	development	internationalization-engineer
agent	development	ios-developer
agent	development	java-pro
agent	development	javascript-pro
agent	development	julia-pro
agent	development	minecraft-bukkit-pro
agent	development	mobile-developer
agent	development	php-pro
agent	development	posix-shell-pro
agent	development	powershell-pro
agent	development	python-pro
agent	development	realtime-systems-engineer
agent	development	refactoring-specialist
agent	development	ruby-pro
agent	development	rust-pro
agent	development	scala-pro
agent	development	temporal-python-pro
agent	development	typescript-pro
agent	development	unity-developer
agent	documentation	api-documenter
agent	documentation	c4-code
agent	documentation	c4-component
agent	documentation	c4-container
agent	documentation	c4-context
agent	documentation	docs-architect
agent	documentation	mermaid-expert
agent	documentation	reference-builder
agent	documentation	tutorial-engineer
agent	embedded-systems	arm-cortex-expert
agent	embedded-systems	firmware-analyst
agent	finance	accounting-controller
agent	finance	fpa-analyst
agent	governance	compliance-auditor
agent	governance	legal-advisor
agent	governance	policy-enforcer
agent	governance	review-policy-author
agent	governance	risk-manager
agent	governance	software-license-compliance-engineer
